copyright	zengfr	site:http://github.com/zengfr/romhack
FF828A	base+28A	[002A7C, 002AF4, 002B12, 002BCA, 002C56, 002C96, 002D86, 002DB2, 002E22, 002E64, 01A598, 01A74C]	
FF828C	base+28C	[0029B2, 002A24, 002A8A, 002AAE, 002BC2, 002C44, 002C68, 002C7A, 002D98, 002DC6, 002E44, 01A74C]	
FF828D	base+28D	[002ABA, 002AFC, 002B04, 002B24, 002C86, 002D70, 002DC2, 002DD4, 002E12, 002E40]	
FF828E	base+28E	[0029B6, 002ACE, 002B84, 002B9E, 002DD8, 002DE0, 01A74C]	
FF8290	base+290	[000F80, 000F8C, 0029BA, 002AD2, 002B88, 002DE4, 01A74C]	
FF8292	base+292	[001DD2, 002E50, 002E62, 01A74C]	
FF8294	base+294	[002A5A, 002A96, 002C30, 01A74C]	
FF8295	base+295	[002A90, 002AB4, 002BC8, 002C6E, 002C80, 002D8E, 002DBA, 002DCE]	
FF8296	base+296	[002A66, 002A6E, 002A72, 002ABE, 002AE4, 002AEA, 002AEE, 002C1C, 002C50, 002C8C, 002D74, 002D80, 002DA0, 002DAC, 002DF8, 01A74C]	
FF8298	base+298	[002B2A, 002CAE, 01A74C]	
FF829A	base+29A	[002B2A, 002CAE, 01A74C]	
FF829C	base+29C	[01A74C]	
FF829E	base+29E	[01A74C]	
FF82A0	base+2A0	[01A74C]	
FF82A2	base+2A2	[002AA6, 002AC8, 002AE0, 002C4C, 002C72, 002D7A, 002DA6, 002DFE, 01A74C]	
FF82A4	base+2A4	[002A40, 002AA0, 002AF2, 002C24, 002C94, 002D84, 002DB0, 01A74C]	
FF82A6	base+2A6	[002A44, 002C2A, 01A74C]	
FF82A8	base+2A8	[002A7C, 002AF4, 002B12, 002BCA, 002C56, 002C96, 002D86, 002DB2, 002E0A, 002E22, 002E64, 01A5A6, 01A74C]	
FF82AA	base+2AA	[002A7C, 002AF4, 002B12, 002BCA, 002C56, 002C96, 002D86, 002DB2, 002E0A, 002E22, 002E64, 01A5A6, 01A74C]	
FF82AC	base+2AC	[0029B2, 002A24, 002A8A, 002AAE, 002BC2, 002C44, 002C60, 002C68, 002C7A, 002D98, 002DC6, 002E44, 01A74C]	
FF82AD	base+2AD	[002ABA, 002AFC, 002B04, 002B24, 002C86, 002D70, 002DC2, 002DD4, 002E12, 002E40]	
FF82AE	base+2AE	[0029B6, 002ACE, 002B84, 002B9E, 002DD8, 002DE0, 01A74C]	
FF82B0	base+2B0	[000F80, 000F8C, 0029BA, 002AD2, 002B88, 002DE4, 01A74C]	
FF82B2	base+2B2	[001DD2, 002E50, 002E62, 01A74C]	
FF82B4	base+2B4	[002A5A, 002A96, 002C30, 01A74C]	
FF82B5	base+2B5	[002A90, 002AB4, 002BC8, 002C6E, 002C80, 002D8E, 002DBA, 002DCE]	
FF82B6	base+2B6	[002A66, 002A6E, 002A72, 002ABE, 002AE4, 002AEA, 002AEE, 002C1C, 002C50, 002C8C, 002D74, 002D80, 002DA0, 002DAC, 002DF8, 002E04, 01A74C]	
