copyright	zengfr	site:http://github.com/zengfr/romhack
001D8C	001D8C	[FFBEA0, FFBF80, FFC060]	
001D90	001D90	[FFBE1C, FFBEFC, FFBFDC]	
001D96	001D96	[FFBE58, FFBF38, FFC018]	
001D9A	001D9A	[FFBE3C, FFBF1C, FFBFFC]	
001DA4	001DA4	[FFBEAE, FFBF8E, FFC06E]	
001DA8	001DA8	[FFBE3A, FFBF1A, FFBFFA]	
001DAC	001DAC	[FFBEC2, FFBFA2, FFC082]	
001DB0	001DB0	[FFBEAA, FFBF8A, FFC06A]	
001DB4	001DB4	[FFBE7A, FFBF5A, FFC03A]	
001DBC	001DBC	[FFBE52, FFBE54, FFBF32, FFBF34, FFC012, FFC014]	
001DC2	001DC2	[FFBE9C, FFBF7C, FFC05C]	
001DC6	001DC6	[FFBE98, FFBF78, FFC058]	
001DD2	001DD2	[FF8292, FF82B2, FF82D2]	
001DE8	001DE8	[FF8196]	
001DF2	001DF2	[FF8196]	
001DF8	001DF8	[FF8192, FF8194]	
001E12	001E12	[FF818E]	
001E20	001E20	[FF818E]	
001E28	001E28	[FF818A]	
001E2E	001E2E	[FF818C]	
001E4E	001E4E	[FFBE24, FFBF04, FFBFE4]	
001E5E	001E5E	[FFBE24, FFBF04, FFBFE4]	
001E6C	001E6C	[FFBE20, FFBF00, FFBFE0]	
001E80	001E80	[FFBE20, FFBFE0]	
001E92	001E92	[FFBE20, FFBF00, FFBFE0]	
001E9E	001E9E	[FFBEBD, FFBF9D, FFC07D]	
001EA8	001EA8	[FFBEBC, FFBF9C, FFC07C]	
001EB2	001EB2	[FFBEA7, FFBF87, FFC067]	
001EBC	001EBC	[FFBEA7, FFBF87, FFC067]	
001EC6	001EC6	[FFBEA7, FFBF87, FFC067]	
001F80	001F80	[FFBECC, FFBFAC, FFC08C]	
001F8C	001F8C	[FFBEBC, FFBF9C, FFC07C]	
001F98	001F98	[FFBECD, FFBFAD, FFC08D]	
001F9E	001F9E	[FFBECD, FFBFAD, FFC08D]	
001FA6	001FA6	[FFBECD, FFBFAD, FFC08D]	
001FAC	001FAC	[FFBECD, FFBFAD, FFC08D]	
