copyright	zengfr	site:http://github.com/zengfr/romhack
00ADBA	00ADBA	[211028, 21102A, 211128, 21112A, 211228, 21122A, 211928, 21192A, 211A28, 211A2A, 211B28, 211B2A, 211C28, 211C2A, 211D28, 211D2A, 211E28, 211E2A, 211F28, 211F2A, 212028, 21202A]	
00ADCE	00ADCE	[211020, 211120, 211220, 211920, 211A20, 211B20, 211C20, 211D20, 211E20, 211F20, 212020]	
00ADD2	00ADD2	[211024, 211124, 211224, 211924, 211A24, 211B24, 211C24, 211D24, 211E24, 211F24, 212024]	
00ADD6	00ADD6	[211028, 211128, 211228, 211928, 211A28, 211B28, 211C28, 211D28, 211E28, 211F28, 212028]	
00ADF2	00ADF2	[21101A, 21111A, 21121A, 21191A, 211A1A, 211B1A, 211C1A, 211D1A, 211E1A, 211F1A, 21201A]	
00AE12	00AE12	[2110EA, 2111EA, 2112EA, 2119EA, 211AEA, 211BEA, 211CEA, 211DEA, 211EEA, 211FEA, 2120EA]	
00AE6E	00AE6E	[2110EA, 2111EA, 2112EA, 2119EA, 211AEA, 211BEA, 211CEA, 211DEA, 211EEA, 211FEA, 2120EA]	
00AE86	00AE86	[211020, 211120, 211220, 211920, 211A20, 211B20, 211C20, 211D20, 211E20, 211F20, 212020]	
00AEA2	00AEA2	[2110EA, 2111EA, 2112EA, 2119EA, 211AEA, 211BEA, 211CEA, 211DEA, 211EEA, 211FEA, 2120EA]	
00AEB2	00AEB2	[2110E9, 2111E9, 2112E9, 2119E9, 211AE9, 211BE9, 211CE9, 211DE9, 211EE9, 211FE9, 2120E9]	
00AEF0	00AEF0	[21100B, 21110B, 21120B, 21190B, 211A0B, 211B0B, 211C0B, 211D0B, 211E0B, 211F0B, 21200B]	
00AF1A	00AF1A	[21104B, 21114B, 21194B]	
00AF20	00AF20	[211028, 211128, 211928]	
00AF2C	00AF2C	[2110EC, 2110EE, 2111EC, 2111EE, 2119EC, 2119EE, 211AEC, 211AEE, 211BEC, 211BEE, 211CEC, 211CEE, 211DEC, 211DEE, 211FEC, 211FEE]	
00AF4A	00AF4A	[2110E6, 2111E6, 2119E6, 211AE6, 211BE6, 211CE6, 211DE6, 211FE6]	
00AF52	00AF52	[21104B, 21114B, 21124B, 21194B, 211A4B, 211B4B, 211C4B, 211D4B, 211E4B, 211F4B, 21204B]	
00AF58	00AF58	[211028, 211128, 211228, 211928, 211A28, 211B28, 211C28, 211D28, 211E28, 211F28, 212028]	
00AF64	00AF64	[2110EC, 2110EE, 2111EC, 2111EE, 2112EC, 2112EE, 2119EC, 2119EE, 211AEC, 211AEE, 211BEC, 211BEE, 211CEC, 211CEE, 211DEC, 211DEE, 211EEC, 211EEE, 211FEC, 211FEE, 2120EC, 2120EE]	
00B11A	00B11A	[21106C, 21106E, 21116C, 21116E, 21196C, 21196E, 211A6C, 211A6E, 211B6C, 211B6E, 211C6C, 211C6E, 211D6C, 211D6E, 211F6C, 211F6E]	
00B11C	00B11C	[211000, 211100, 211900]	
00B146	00B146	[21100B, 21110B, 21190B, 211A0B, 211B0B, 211C0B, 211D0B, 211F0B]	
00B154	00B154	[2119EC, 2119EE, 211AEC, 211AEE, 211BEC, 211BEE, 211CEC, 211CEE, 211DEC, 211DEE]	
00B158	00B158	[2119E6, 211AE6, 211BE6, 211CE6, 211DE6]	
00B15C	00B15C	[2110E6, 2111E6, 2119E6]	
00B1B6	00B1B6	[2110EC, 2110EE, 2111EC, 2111EE, 2119EC, 2119EE]	
00B1BA	00B1BA	[2110E6, 2111E6, 2119E6, 211AE6, 211BE6, 211CE6, 211DE6, 211FE6]	
00B1BE	00B1BE	[2110E6, 2111E6, 2119E6]	
00B26A	00B26A	[2110EC, 2110EE, 2111EC, 2111EE, 2112EC, 2112EE, 2119EC, 2119EE, 211AEC, 211AEE, 211BEC, 211BEE, 211CEC, 211CEE, 211DEC, 211DEE, 211EEC, 211EEE, 211FEC, 211FEE, 2120EC, 2120EE]	
00B278	00B278	[21101C, 21101E, 21111C, 21111E, 21121C, 21121E, 21191C, 21191E, 211A1C, 211A1E, 211B1C, 211B1E, 211C1C, 211C1E, 211D1C, 211D1E, 211E1C, 211E1E, 211F1C, 211F1E, 21201C, 21201E]	
