copyright	zengfr	site:http://github.com/zengfr/romhack
211070	123p+70	[00996E, 01A734, 01A81E, 01AE90, 01B336, 01B742, 01BA18, 01C8FA, 01CFD8, 01D038, 01D964, 01DE7E, 01F8EC, 01FF12, 02B5D8, 05329E]	
211072	123p+72	[00996E, 01A734, 01A81E, 01AE90, 01B336, 01B742, 01BA18, 01C8FA, 01CFD8, 01D038, 01D964, 01DE7E, 01F8EC, 01FF12, 02B5D8, 05329E]	
211074	123p+74	[00996E, 01D29C, 02B68A, 02B6B2, 02B6C0, 02B70A, 02B754, 02B87A, 02BBA0]	
211076	123p+76	[00996E, 01D29C, 02B68A, 02B6B2, 02B6C0, 02B70A, 02B754, 02B87A, 02BBA0]	
211078	123p+78	[00996E, 01B7E4, 01CBEC, 01CE18, 01CE74, 01CE7C, 01CFBE, 01E564, 01E5B2, 01F0F4, 01F0FC, 02B63E, 02B864, 02B91A, 061DC4]	
211079	123p+79	[01CE20, 01CFC6, 01F104, 01F118, 01F128, 01F146, 04E2CC, 053106, 061DC0]	
21107A	123p+7A	[00996E]	
21107C	123p+7C	[00996E]	
21107E	123p+7E	[00996E, 00AD96, 00B4A0, 01A694, 01A6A2, 01A6B4, 01A73E, 01DD0E, 01F178, 01F85A, 01F94E, 01FAEE, 01FAF8, 01FAFE, 025C66, 025ED0, 025F58, 026E04, 02B5EA, 02BA90, 0403A8, 0405DC, 040610, 040624, 043E78, 043E82, 044508, 044512, 044696, 0446A0, 05DE48, 05FC96, 062308]	
21107F	123p+7F	[01A4B8, 01A4EE, 01A640, 01A68C, 01A702, 01AE9C, 01B332, 01BA24, 01C8F2, 01D002, 01D034, 01D27E, 01D95C, 01DD64, 01DDA4, 01DDB8, 01DEDE, 01E638, 01E650, 01E7A0, 01E7DE, 01F8AA, 01F90E, 01FECA, 02005A, 02B570, 02B58C, 02B5D0, 02B892, 02B980, 02C1B6, 03E5E0, 040714, 0407BA, 043B9A, 053382, 05348C, 05C2BC, 05C6EC, 05D0C0, 06007C, 0601C0, 0601DA, 06025C, 060276, 0608F6, 061332]	
211080	123p+80	[00996E, 019362, 01936A, 01937A, 0193DA, 019410, 019496, 0194B6, 019552, 0195F4, 0195FC, 019604, 01960C, 01961C, 01967C, 0196B2, 019D22, 019DA2, 019DDE, 019E1E, 019E26, 019E2E, 019EAE, 019F18, 019F98, 01A010, 01A01C, 01A028, 01A0A8, 01A2D8, 01B03E, 01C7D0, 01D0E2, 01D1C8, 01D212, 01D3EC, 01D410, 01D41A, 01D456, 01D46A, 01D50A, 01D66E, 01DA92, 01E7B2, 01EE06, 01F04A, 02B85C, 02B912]	
211082	123p+82	[00996E, 01936E, 019376, 0193DA, 019410, 019496, 0194B6, 019552, 0195F4, 0195FC, 019610, 019618, 01967C, 0196B2, 019DA2, 019DDE, 019E1E, 019E26, 019EAE, 019F98, 01A010, 01A01C, 01A0A8, 01A2D8, 01B03E, 01C7D0, 01D0E2, 01D1C8, 01D212, 01D3EC, 01D410, 01D41A, 01D456, 01D46A, 01D50A, 01D66E, 01DA92, 01E7B2, 01EE06, 01F04A, 02B85C, 02B912]	
211084	123p+84	[00996E, 019894, 0198D2, 019906, 019982, 01999C, 019A1A, 019A38, 019C2E, 019C56, 019C5E, 019C66, 019C9E, 019CD2, 019D2C, 019DA6, 019DE6, 019E38, 019EB2, 019F08, 019F10, 019F22, 019F9C, 01A014, 01A020, 01A032, 01A0AC, 01F04E]	
211086	123p+86	[00996E, 0198D2, 019906, 019982, 01999C, 019A1A, 019A38, 019C2E, 019C56, 019C5E, 019C9E, 019CD2, 019DA6, 019DE6, 019EB2, 019F08, 019F10, 019F9C, 01A014, 01A020, 01A0AC, 01F04E]	
211088	123p+88	[00996E, 01A3EA, 01D276, 01D402]	
21108A	123p+8A	[00996E, 01A3EA, 01D1E6, 01D276, 01D402, 01D43E, 01D528, 01D54C, 01ED6E, 021FDE, 0227F0, 02283E]	
21108C	123p+8C	[00996E, 01926E, 019286, 01928A]	
21108E	123p+8E	[00996E, 01926E, 019286, 01928A]	
211090	123p+90	[00996E, 019274, 01929C, 0192A0]	
211092	123p+92	[00996E, 019274, 01929C, 0192A0]	
211094	123p+94	[00996E, 019318, 01940C, 01947E, 01948C, 0194A0, 01955C, 0196AE, 019720, 01972A, 0199D6, 0199DA, 0199EC, 019A80, 019A84, 019A96, 019C22, 019DD6, 01A12C, 01A224, 01A31E]	
211096	123p+96	[00996E, 01932A, 0194E2, 019522, 0195C6, 019902, 01998E, 019A08, 019A10, 019A26, 019C26, 019CCE, 019CEE, 019CFA, 019DDA, 01A130, 01A228]	
211098	123p+98	[00996E, 01B7DA, 01CBD0, 01CC90]	
21109A	123p+9A	[00996E, 01AD0C, 01AFCA, 01B06C, 01B084, 01B0A0, 01B0DA, 01B124, 01B1F4, 01B256, 01B324, 01B37C, 01B76A, 01B76E, 01B7EC, 01B8E2, 01BA38, 01BD7A, 01BE5E, 01CA7C, 01DC9A, 01DE8C, 01F1CC, 01F1EE, 0219B6, 023736, 02B5FC]	
21109C	123p+9C	[00996E, 01AF38, 01BE2E, 01E678, 01E7A8]	
21109E	123p+9E	[00996E, 01AF38, 01BE2E, 01E678, 01E7A8]	
2110A0	123p+A0	[00996E, 01A660, 01A6DA, 01A766, 01A76E, 01AD5A, 01AD82, 01AEE2, 01B140, 01B280, 01BEC0, 01C2CA, 01C310, 01C724, 01C72E, 01C818, 01C82A, 01CA42, 01CE90, 01CF44, 01CFD0, 01D7AA, 01D886, 01DD16, 01DEC8, 01E5CA, 01E872, 01EDA0, 01F1AC, 01F228, 020098, 02012C, 022B6E, 023726, 02B8B0]	
2110A1	123p+A1	[01A5DE, 01A830, 01A83A, 01A846, 01A896, 01BA44, 01C360, 01CB52, 01CC88, 01CF2C, 01D298, 01D5A8, 01DB44, 0200AA, 02B5AC]	
2110A2	123p+A2	[00996E, 01AD54, 01AEC2, 01BA8E, 01BDF4, 01C012, 01C01E, 01C824, 01C912, 01D2FC, 01D316, 01D5AC, 01D5D0, 01D7C2, 01D874, 01D8A4, 01E310, 01E334, 01EDA4, 01F600, 01F618, 01F634, 02B5B0]	
2110A3	123p+A3	[01AC9E, 01ACA6, 01ACE4, 01ACEC, 01BDE6, 01BEDC, 01BEFA, 01CF6E, 01D2F0, 01D616, 01D642, 01D660, 01D66A, 01D67C, 01E308]	
2110A4	123p+A4	[00996E, 01A772, 01A77A, 01B14C, 01BE64, 01BE9E, 01E090, 01E120, 01F600, 02B5B0]	
2110A5	123p+A5	[01A77E, 01A798, 01A808, 01CA82, 01D024, 01DDAE, 01F61C]	
2110A6	123p+A6	[00996E, 01B010, 01BD68, 01BD70, 01F1F4]	
2110A7	123p+A7	[01A6DE, 01A746, 01A79C, 01A7A4, 01AD60, 01AD7C, 01B0BC, 01B0F6, 01B146, 01B284, 01B6AA, 01C2CE, 01C314, 01C728, 01C81C, 01C82E, 01CF4A, 01CFD4, 01D7AE, 01DECE, 01E178, 01E4EA, 01E878, 01F5C2, 022B72, 02372A, 02B8B4, 02B8D8]	
2110A8	123p+A8	[00996E, 01B5F8, 01BF00, 01C6D0, 01CF30, 01E4FA, 01E54C, 01F5C6, 01F5CC, 01F604, 01F620, 01F86E, 01F924, 02009C, 02B5B4]	
2110A9	123p+A9	[01AD64, 01BF3A, 01E094, 01E124]	
