copyright	zengfr	site:http://github.com/zengfr/romhack
FF85C6	1p+5E	[00A0DA, 00A2B0, 00A2B8, 00A2C6]	
FF85C8	1p+60	[00A2C6]	
FF85C9	1p+61	[009CB8, 009CD6, 00A552, 00A664, 00A7A4, 00B84C]	
FF85CA	1p+62	[00A2C6]	
FF85CB	1p+63	[00ACC4]	
FF85CC	1p+64	[00A2C6]	
FF85CE	1p+66	[007CF6, 00849A, 0084A2, 00A2C6, 00A344]	
FF85D0	1p+68	[007156, 00736C, 0073BE, 007460, 0074A8, 00A2C6, 00B24E, 00B290]	
FF85D1	1p+69	[00CEA2]	
FF85D2	1p+6A	[00A2C6]	
FF85D4	1p+6C	[00A2C6]	
FF85D6	1p+6E	[00A2C6]	
FF85D8	1p+70	[0032AA, 0032BC, 00A2C6]	
FF85DA	1p+72	[0032AA, 0032BC, 00A2C6]	
FF85DC	1p+74	[00330E, 003334, 00A2C6]	
FF85DE	1p+76	[0032C8, 00A2C6]	
FF85E0	1p+78	[0032DE, 0032EA, 00A2C6]	
FF85E2	1p+7A	[0032DE, 0032EA, 00A2C6]	
FF85E4	1p+7C	[003320, 003346, 00A2C6]	
FF85E6	1p+7E	[0032F6, 00A2C6]	
FF85E8	1p+80	[004A3C, 009F86, 00A2C6, 00A5C6]	
FF85E9	1p+81	[00A13E, 0155AE, 015A44, 015A9E, 05C454]	
FF85EA	1p+82	[002B88, 00A2C6, 00DCBE, 05DF7C]	
FF85EB	1p+83	[002B80]	
FF85EC	1p+84	[001ADC, 00A14A, 00A2C6]	
FF85ED	1p+85	[001ADA]	
FF85EE	1p+86	[001AD8, 00A14A, 00A2C6]	
FF85EF	1p+87	[001AD6]	
FF85F0	1p+88	[008CB6, 008CFA, 008D0C, 00A2C6, 00A348]	
FF85F1	1p+89	[008CC6, 008CDA, 008CF4, 008CFE, 008D12, 008D28, 00A34C]	
FF85F2	1p+8A	[008E7E, 008EA8, 008EAE, 00A2C6, 00A350]	
FF85F3	1p+8B	[008CE4, 008D02, 008D16, 008D2C, 00A354]	
FF85F4	1p+8C	[008CF0, 008D06, 008D1A, 008D30, 00A2C6, 00A358]	
FF85F5	1p+8D	[008EF4, 00A35C]	
FF85F6	1p+8E	[00A114, 00A2C6, 00A360, 00A97C]	
FF85F7	1p+8F	[008C6C, 008EDC, 008F52, 00A364]	
FF85F8	1p+90	[004A60, 00A13A, 00A2C6]	
FF85F9	1p+91	[00E770, 00F53C]	
FF85FA	1p+92	[004A86, 009F9A, 00A136, 00A2C6]	
FF85FB	1p+93	[004A84]	
FF85FC	1p+94	[00A2C6, 00A374]	
FF85FD	1p+95	[00A370, 00BCB0, 00BDA4, 00BDAC]	
FF85FE	1p+96	[00A2C6, 00A36C, 00A6BA, 00A7B4, 00A890, 00BC4A, 00BC8A]	
FF85FF	1p+97	[00A368]	
FF8600	1p+98	[00A2C6, 00A382, 00A6BE, 00A872, 00BDE4, 00BE80, 00BEB6, 00CF00, 00D8DC, 00D95E]	
FF8601	1p+99	[00CD1A, 00CD64, 00D780]	
FF8602	1p+9A	[009CB2, 009CD0, 00A2C6, 00A382, 00A558, 00A66A, 00A7AA]	
FF8603	1p+9B	[00A91A]	
FF8604	1p+9C	[00A2C6, 00A382, 00DC5C, 00DCA2, 00DD7C, 00DE66, 00DED4, 00E000, 00E040, 00E07E, 00EE0A, 00EE1E, 00EF68, 00EFCC, 00EFE0, 00F430]	
FF8606	1p+9E	[00A2C6, 00A382, 00F438]	
FF8608	1p+A0	[00715C, 007372, 0073C4, 007466, 00A2C6, 00A382, 00A6C6, 00A86A, 00BA4A, 00BC40, 00BDEC, 00CD00]	
FF8609	1p+A1	[00ABAA, 00AC62]	
FF860A	1p+A2	[00A2C6, 00A382, 00A6C2, 00A866, 00BA50, 00BC34, 00BC3C, 00BDE8, 00BE36, 00CD04, 00D816, 00D856, 00D908]	
FF860C	1p+A4	[00A2C6, 00A382, 00A6CA, 00A86E, 00B330, 00B68C, 00BDF2, 00BE3C, 00CCFC]	
FF860D	1p+A5	[00ABA2, 00BB8E, 00BBA2]	
FF860E	1p+A6	[00A2C6, 00A382, 00AB40, 00AB66, 00E8F6, 00F6AE]	
FF860F	1p+A7	[00EB44]	
FF8610	1p+A8	[008EE4, 00A2C6, 00A382]	
FF8611	1p+A9	[00ABA6]	
FF8612	1p+AA	[00A2C6, 00A382, 00C014, 00C022, 00C03C]	
FF8614	1p+AC	[00A2C6, 00A382, 00C014, 00C022, 00C03C]	
FF8616	1p+AE	[00A2C6, 00A382, 00C05A, 00C066]	
FF8618	1p+B0	[00A2C6, 00A382, 00BFFE]	
FF861A	1p+B2	[00A2C6, 00A382, 00BFFE]	
