copyright	zengfr	site:http://github.com/zengfr/romhack
00711E	00711E	[FFBE91]	
007122	007122	[FFBE64]	
007128	007128	[FFBE3E]	
00712E	00712E	[FFBE67]	
007134	007134	[FFBE67]	
00714A	00714A	[FF857F]	
007150	007150	[FFBE3F]	
007156	007156	[FF85D0]	
00715C	00715C	[FF8608]	
007336	007336	[FF9051, FF9AD1]	
00733A	00733A	[FF9024, FF9AA4]	
007340	007340	[FF8FFE, FF9A7E]	
007346	007346	[FF9027, FF9AA7]	
007360	007360	[FF857F]	
007366	007366	[FF8FFF, FF9A7F]	
00736C	00736C	[FF85D0]	
007372	007372	[FF8608]	
007380	007380	[FF9051]	
007384	007384	[FF9024]	
00738A	00738A	[FF8FFE]	
007390	007390	[FF9027]	
0073AC	0073AC	[FF9093]	
0073B2	0073B2	[FF857F]	
0073B8	0073B8	[FF8FFF]	
0073BE	0073BE	[FF85D0]	
0073C4	0073C4	[FF8608]	
0073CE	0073CE	[FF9051]	
0073D2	0073D2	[FF9024]	
0073D8	0073D8	[FF8FFE]	
0073DE	0073DE	[FF9027]	
0073F4	0073F4	[FF9092]	
00741E	00741E	[FF9051]	
007422	007422	[FF9024]	
007428	007428	[FF8FFE]	
00742E	00742E	[FF9027]	
007454	007454	[FF857F]	
00745A	00745A	[FF8FFF]	
007460	007460	[FF85D0]	
007466	007466	[FF8608]	
007472	007472	[FF9027]	
007496	007496	[FF9026]	
00749C	00749C	[FF857F]	
0074A2	0074A2	[FF8FFF]	
0074A8	0074A8	[FF85D0]	
007516	007516	[FF85A8]	
00751A	00751A	[FF85AC]	
007520	007520	[FF9028, FF9AA8]	
007524	007524	[FF902C, FF9AAC]	
007596	007596	[FF85A4]	
00759C	00759C	[FF857E]	
0075A2	0075A2	[FF85A7]	
0075B8	0075B8	[FF8FFF, FF9A7F]	
0075BE	0075BE	[FF857F]	
0075C4	0075C4	[FF9050, FF9AD0]	
0075CA	0075CA	[FF85A6]	
0076C8	0076C8	[FF85A7]	
0076DA	0076DA	[FF85A6]	
0076E0	0076E0	[FF8FFF]	
0076E6	0076E6	[FF857F]	
0076EC	0076EC	[FF9050]	
0079C4	0079C4	[FF9000, FF9A80, FFBE40]	
0079D8	0079D8	[FF8580, FF9000]	
007A10	007A10	[FF9026, FFBE66]	
007A18	007A18	[FF9026, FF9AA6]	
007A36	007A36	[FF9026, FF9AA6, FFBE66]	
007C38	007C38	[FF856E, FF8FEE, FF946E, FFBE2E]	
007C4E	007C4E	[FF8576, FF8FF6, FFBE36]	
007C52	007C52	[FF8572, FF8FF2, FFBE32]	
007C62	007C62	[FF856E, FF8FEE]	
007C66	007C66	[FF8576, FF8FF6]	
007C6A	007C6A	[FF8572, FF8FF2]	
007C72	007C72	[FF856E]	
007C76	007C76	[FF8576]	
007C7A	007C7A	[FF8572]	
007C8C	007C8C	[FF8576, FFBE36]	
007C90	007C90	[FF85C2, FFBE82]	
007CA8	007CA8	[FF85C0]	
007CEA	007CEA	[FF85C0]	
007CF0	007CF0	[FF85C1]	
007CF6	007CF6	[FF85CE]	
007D36	007D36	[FF85C0, FF9040, FF94C0]	
007D52	007D52	[FF85C1, FF9041, FF94C1]	
007D56	007D56	[FF85C0, FF9040, FF94C0]	
007DAE	007DAE	[FF85C1]	
007DB2	007DB2	[FF85C0]	
007DF8	007DF8	[FF85C0]	
007E3E	007E3E	[FF85C0, FFBE80]	
007E6C	007E6C	[FF85C1, FFBE81]	
007E70	007E70	[FF85C0, FFBE80]	
007EA0	007EA0	[FF85C1, FFBE81]	
007EA4	007EA4	[FF85C0, FFBE80]	
007F2A	007F2A	[FF85C1]	
007F2E	007F2E	[FF85C0]	
007F54	007F54	[FFBE82]	
007F58	007F58	[FFBE36]	
00849A	00849A	[FF85CE, FF904E, FF94CE, FFBE8E]	
0084A2	0084A2	[FF85CE, FF904E, FFBE8E]	
00890C	00890C	[FFBE82]	
008C6C	008C6C	[FF85F7]	
008CA2	008CA2	[FF857E]	
008CB6	008CB6	[FF85F0]	
008CC6	008CC6	[FF85F1]	
008CDA	008CDA	[FF85F1]	
008CE4	008CE4	[FF85F3]	
008CF0	008CF0	[FF85F4]	
008CF4	008CF4	[FF85F1]	
008CFA	008CFA	[FF85F0]	
008CFE	008CFE	[FF85F1]	
008D02	008D02	[FF85F3]	
008D06	008D06	[FF85F4]	
008D0C	008D0C	[FF85F0]	
008D12	008D12	[FF85F1]	
008D16	008D16	[FF85F3]	
008D1A	008D1A	[FF85F4]	
008D28	008D28	[FF85F1]	
008D2C	008D2C	[FF85F3]	
008D30	008D30	[FF85F4]	
008DC0	008DC0	[FF8569]	
008DC8	008DC8	[FF8569]	
008E0C	008E0C	[FF856E]	
008E1A	008E1A	[FF8576]	
008E1E	008E1E	[FF8572]	
008E7E	008E7E	[FF85F2]	
008EA8	008EA8	[FF85F2]	
008EAE	008EAE	[FF85F2]	
008EDC	008EDC	[FF85F7]	
008EE4	008EE4	[FF8610]	
008EF4	008EF4	[FF85F5]	
008F52	008F52	[FF85F7]	
00999E	00999E	[FF9036, FF94B6, FF9AB6, FFBE76]	
009ACA	009ACA	[FF8FE8, FF8FEA, FF8FEC, FF8FEE, FF8FF0, FF8FF2, FF8FF4, FF8FF6, FF8FF8, FF8FFA, FF8FFC, FF8FFE, FF9000, FF9002, FF9004, FF9006, FF9008, FF900A, FF900C, FF900E, FF9010, FF9012, FF9014, FF9016, FF9018, FF901A, FF901C, FF901E, FF9020, FF9022, FF9024, FF9026, FF9028, FF902A, FF902C, FF902E, FF9030, FF9032, FF9034, FF9036, FF9038, FF903A, FF903C, FF903E, FF9040, FF9042, FF9044, FF9046, FF9048, FF904A, FF904C, FF904E, FF9050, FF9052, FF9054, FF9056, FF9058, FF905A, FF905C, FF905E, FF9060, FF9062, FF9064, FF9066, FF9068, FF906A, FF906C, FF906E, FF9070, FF9072, FF9074, FF9076, FF9078, FF907A, FF907C, FF907E, FF9080, FF9082, FF9084, FF9086, FF9088, FF908A, FF908C, FF908E, FF9090, FF9092, FF9094, FF9096, FF9098, FF909A, FF909C, FF909E, FF90A0, FF90A2, FF90A4, FF90A6, FF9468, FF946A, FF946C, FF946E, FF9470, FF9472, FF9474, FF9476, FF9478, FF947A, FF947C, FF947E, FF9480, FF9482, FF9484, FF9486, FF9488, FF948A, FF948C, FF948E, FF9490, FF9492, FF9494, FF9496, FF9498, FF949A, FF949C, FF949E, FF94A0, FF94A2, FF94A4, FF94A6, FF94A8, FF94AA, FF94AC, FF94AE, FF94B0, FF94B2, FF94B4, FF94B6, FF94B8, FF94BA, FF94BC, FF94BE, FF94C0, FF94C2, FF94C4, FF94C6, FF94C8, FF94CA, FF94CC, FF94CE, FF94D0, FF94D2, FF94D4, FF94D6, FF94D8, FF94DA, FF94DC, FF94DE, FF94E0, FF94E2, FF94E4, FF94E6, FF94E8, FF94EA, FF94EC, FF94EE, FF94F0, FF94F2, FF94F4, FF94F6, FF94F8, FF94FA, FF94FC, FF94FE, FF9500, FF9502, FF9504, FF9506, FF9508, FF950A, FF950C, FF950E, FF9510, FF9512, FF9514, FF9516, FF9518, FF951A, FF951C, FF951E, FF9520, FF9522, FF9524, FF9526, FFBE28, FFBE2A, FFBE2C, FFBE2E, FFBE30, FFBE32, FFBE34, FFBE36, FFBE38, FFBE3A, FFBE3C, FFBE3E, FFBE40, FFBE42, FFBE44, FFBE46, FFBE48, FFBE4A, FFBE4C, FFBE4E, FFBE50, FFBE52, FFBE54, FFBE56, FFBE58, FFBE5A, FFBE5C, FFBE5E, FFBE60, FFBE62, FFBE64, FFBE66, FFBE68, FFBE6A, FFBE6C, FFBE6E, FFBE70, FFBE72, FFBE74, FFBE76, FFBE78, FFBE7A, FFBE7C, FFBE7E, FFBE80, FFBE82, FFBE84, FFBE86, FFBE88, FFBE8A, FFBE8C, FFBE8E, FFBE90, FFBE92, FFBE94, FFBE96, FFBE98, FFBE9A, FFBE9C, FFBE9E, FFBEA0, FFBEA2, FFBEA4, FFBEA6, FFBEA8, FFBEAA, FFBEAC, FFBEAE, FFBEB0, FFBEB2, FFBEB4, FFBEB6, FFBEB8, FFBEBA, FFBEBC, FFBEBE, FFBEC0, FFBEC2, FFBEC4, FFBEC6, FFBEC8, FFBECA, FFBECC, FFBECE, FFBED0, FFBED2, FFBED4, FFBED6, FFBED8, FFBEDA, FFBEDC, FFBEDE, FFBEE0, FFBEE2, FFBEE4, FFBEE6]	
009AD2	009AD2	[FF8FFA, FF947A, FFBE3A]	
009C20	009C20	[FF8580]	
009C24	009C24	[FF8582]	
009C8A	009C8A	[FF85B2]	
009C8E	009C8E	[FF85B4]	
009C94	009C94	[FF94A8]	
009C98	009C98	[FF94B4]	
009CB2	009CB2	[FF8602]	
009CB8	009CB8	[FF85C9]	
009CD0	009CD0	[FF8602]	
009CD6	009CD6	[FF85C9]	
009CE4	009CE4	[FF85A8]	
009CE8	009CE8	[FF85AA]	
009CF0	009CF0	[FF856A, FF856C]	
009CF6	009CF6	[FF8582]	
009D3E	009D3E	[FF856E, FF8570]	
009D44	009D44	[FF8572, FF8574]	
009D74	009D74	[FF856E]	
009D7A	009D7A	[FF8572]	
009F86	009F86	[FF85E8]	
009F8C	009F8C	[FF8568]	
009F92	009F92	[FF857B]	
009F9A	009F9A	[FF85FA]	
00A04E	00A04E	[FF85B6]	
00A0DA	00A0DA	[FF85C4, FF85C6]	
00A0E2	00A0E2	[FF85A0, FF85A2]	
00A104	00A104	[FF857C]	
00A114	00A114	[FF85F6]	
00A118	00A118	[FF856A, FF856C]	
00A136	00A136	[FF85FA]	
00A13A	00A13A	[FF85F8]	
00A13E	00A13E	[FF85E9]	
00A14A	00A14A	[FF85EC, FF85EE]	
00A19A	00A19A	[FF8580]	
00A1A0	00A1A0	[FF8582]	
00A2A6	00A2A6	[FF859F]	
00A2AC	00A2AC	[FF8584]	
00A2B0	00A2B0	[FF85C4, FF85C6]	
00A2B8	00A2B8	[FF85C4, FF85C6]	
00A2C6	00A2C6	[FF8568, FF856A, FF856C, FF856E, FF8570, FF8572, FF8574, FF8576, FF8578, FF857A, FF857C, FF857E, FF8580, FF8582, FF8584, FF8586, FF8588, FF858A, FF858C, FF858E, FF8590, FF8592, FF8594, FF8596, FF8598, FF859A, FF859C, FF859E, FF85A0, FF85A2, FF85A4, FF85A6, FF85A8, FF85AA, FF85AC, FF85AE, FF85B0, FF85B2, FF85B4, FF85B6, FF85B8, FF85BA, FF85BC, FF85BE, FF85C0, FF85C2, FF85C4, FF85C6, FF85C8, FF85CA, FF85CC, FF85CE, FF85D0, FF85D2, FF85D4, FF85D6, FF85D8, FF85DA, FF85DC, FF85DE, FF85E0, FF85E2, FF85E4, FF85E6, FF85E8, FF85EA, FF85EC, FF85EE, FF85F0, FF85F2, FF85F4, FF85F6, FF85F8, FF85FA, FF85FC, FF85FE, FF8600, FF8602, FF8604, FF8606, FF8608, FF860A, FF860C, FF860E, FF8610, FF8612, FF8614, FF8616, FF8618, FF861A, FF861C, FF861E, FF8620, FF8622, FF8624, FF8626]	
00A2D0	00A2D0	[FF8569]	
00A2D4	00A2D4	[FF8586]	
00A2D8	00A2D8	[FF8587]	
00A2DC	00A2DC	[FF8588, FF858A]	
00A2E0	00A2E0	[FF858C]	
00A2E4	00A2E4	[FF8590]	
00A2E8	00A2E8	[FF8591]	
00A2EC	00A2EC	[FF8592]	
00A2F0	00A2F0	[FF8593]	
00A2F4	00A2F4	[FF8594]	
00A2F8	00A2F8	[FF8595]	
00A2FC	00A2FC	[FF8596]	
00A300	00A300	[FF8597]	
00A304	00A304	[FF859E]	
00A308	00A308	[FF85A6]	
00A30C	00A30C	[FF85A7]	
00A310	00A310	[FF85A8]	
00A314	00A314	[FF85A9]	
00A318	00A318	[FF85AA]	
00A31C	00A31C	[FF85AC]	
00A320	00A320	[FF85B2]	
00A324	00A324	[FF85B4]	
00A328	00A328	[FF85B8]	
