copyright	zengfr	site:http://github.com/zengfr/romhack
FF85E4	1p+7C	[0, 1A0, 1A2, 1A4, 1A5, 1A6, 1A7, 1A8, 1A9, 1AA, 1AC, 1AE, 1AF, 1B0, 1B1, 1B2, 1B3, BBA, BBB, BBC, BBD, BBE, BBF, BC0, BC1, BC2, BC3, BC4, BC5, BC6, BC7, BC8, BC9, BCA, BCB, BCD, FFB]	
FF85E6	1p+7E	[0, 88, 89, 8A, 8B, 8C, 8D, 8E, 8F, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 9A, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, AD, AE, AF, BE]	
FF85E8	1p+80	[0, 1, 2]	
FF85E9	1p+81	[0, 1, 80, 81]	
FF85EA	1p+82	[0, 1, 10, 101, 1010, 1030, 11, 12, 14, 15, 16, 18, 19, 1A, 2, 20, 22, 24, 25, 26, 28, 29, 2A, 30, 31, 32, 34, 35, 36, 4, 5, 6, 8, 9, A]	
FF85EB	1p+83	[0, 1, 10, 11, 12, 14, 15, 16, 18, 19, 1A, 2, 20, 21, 22, 24, 25, 26, 28, 29, 2A, 30, 31, 32, 34, 35, 36, 4, 5, 6, 8, 9, A]	
FF85EC	1p+84	[0, 12, 20, 7]	
FF85ED	1p+85	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 3, 4, 5, 6, 7, 8, 9]	
FF85EE	1p+86	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 3, 4, 5, 5141, 6, 7, 8, 88, 89, 9, 90, 91, 92, 94, 95, 96, 97, 98, 99]	
FF85EF	1p+87	[0, 10, 20, 22, 30, 31, 40, 41, 42, 50, 51, 52, 61, 62, 70, 71, 72, 80, 81, 90, 91, 92]	
FF85F0	1p+88	[0, FF]	
FF85F1	1p+89	[0, FF]	
FF85F2	1p+8A	[0, 1]	
FF85F3	1p+8B	[0, FF]	
FF85F4	1p+8C	[0, FF]	
FF85F5	1p+8D	[0]	
FF85F6	1p+8E	[0, 1]	
