copyright	zengfr	site:http://github.com/zengfr/romhack
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17DC;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17E8;       0;       0;a0:   A17F4; 9A8;8000;   A0204; 270; A00	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17E8;       0;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17E8;   A1A30;       0;a0:   A17F4; 9A8;8000;   A0204; 270; A00	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17E8;   A1A90;       0;a0:   A17F4; 9A8;8000;   A0204; 270; A00	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17E8;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17F4;       0;       0;a0:   A1800; 9AC;8000;   B0284; 270; B00	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17F4;   A1A30;       0;a0:   A1800; 9AC;8000;   B0284; 270; B00	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17F4;   A1A90;       0;a0:   A1800; 9AC;8000;   B0284; 270; B00	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1800;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1D96;       0;       0;a0:   A1DEA; B28;8000;     2C6; 170;5200	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1D96;   A192C;       0;a0:   A1DEA; B28;8000;     2C6; 170;5200	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1D96;   A1938;       0;a0:   A1DEA; B28;8000;     2C6; 170;5200	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1D96;   A1A24;       0;a0:   A1DEA; B28;8000;     2C6; 170;5200	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1D96;   A1A30;       0;a0:   A1DEA; B28;8000;     2C6; 170;5200	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1DB2;   A1A30;       0;a0:   A1DDC; B64;8000;      C6; 100;3E00	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1DB2;   A1A90;       0;a0:   A1DDC; B64;8000;      C6; 100;3E00	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1DDC;   A1A18;       0;a0:   A1DDC; B64;8000;      C6; 100;3E00	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A201E;       0;       0;a0:   A202A; A90;8000;       1;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A201E;   A1A30;       0;a0:   A202A; A90;8000;       1;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A201E;   A1A90;       0;a0:   A202A; A90;8000;       1;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A202A;       0;       0;a0:   A2036; A94;8000;     405;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A202A;   A1A30;       0;a0:   A2036; A94;8000;     405;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A202A;   A1A90;       0;a0:   A2036; A94;8000;     405;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A2036;       0;       0;a0:   A2042; A90;8000;       2;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A2036;       0;       0;a0:   A205C; A94;8000;       1;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A2036;   A1A30;       0;a0:   A2042; A90;8000;       2;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A2036;   A1A90;       0;a0:   A2042; A90;8000;       2;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A2036;   A1A90;       0;a0:   A205C; A94;8000;       1;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A2042;       0;       0;a0:   A204E; A8C;8000; 1000081;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A2042;   A1A30;       0;a0:   A204E; A8C;8000; 1000081;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A2042;   A1A90;       0;a0:   A204E; A8C;8000; 1000081;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A204E;       0;       0;a0:   A2036; A94;8000;     405;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A204E;   A1A30;       0;a0:   A2036; A94;8000;     405;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 4;   C;   0;   A204E;   A1A90;       0;a0:   A2036; A94;8000;     405;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A205C;       0;       0;a0:   A2068; A90;8000;       2;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A205C;   A1A90;       0;a0:   A2068; A90;8000;       2;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A2068;       0;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A2068;       0;       0;a0:   A2074; A8C;8000;      81;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A2068;       0;       0;a0:   A2082; A90;8000;       1;2200;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A2068;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A2068;   A1A90;       0;a0:   A2074; A8C;8000;      81;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A2068;   A1A90;       0;a0:   A2082; A90;8000;       1;2200;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A210A;       0;       0;a0:   A20C0; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A210A;       0;       0;a0:   A252E; A60;8000;     C05;   0;8500	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A210A;   A1A90;       0;a0:   A20C0; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A2124;       0;       0;a0:   A2130; AB8;8000;      85;2B00;   0	
spr;FFFFB274; 1; 2; 0; 0; 6;   C;   0;   A2124;   A1A90;       0;a0:   A2130; AB8;8000;      85;2B00;   0	
spr;FFFFB274; 1; 2; 0; 0; 8;   C;   0;   A201E;       0;       0;a0:   A202A; A90;8000;       1;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 8;   C;   0;   A201E;   A1A90;       0;a0:   A202A; A90;8000;       1;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 8;   C;   0;   A202A;       0;       0;a0:   A2036; A94;8000;     405;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 8;   C;   0;   A202A;   A1A90;       0;a0:   A2036; A94;8000;     405;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 8;   C;   0;   A2036;       0;       0;a0:   A2042; A90;8000;       2;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 8;   C;   0;   A2036;       0;       0;a0:   A205C; A94;8000;       1;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 8;   C;   0;   A2036;   A1A90;       0;a0:   A2042; A90;8000;       2;2254;   0	
spr;FFFFB274; 1; 2; 0; 0; 8;   C;   0;   A2036;   A1A90;       0;a0:   A205C; A94;8000;       1;2355;   0	
spr;FFFFB274; 1; 2; 0; 0; 8;   C;   0;   A2042;       0;       0;a0:   A204E; A8C;8000; 1000081;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 8;   C;   0;   A2042;   A1A90;       0;a0:   A204E; A8C;8000; 1000081;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; A;   C;   0;   A2082;       0;       0;a0:   A208E; A98;8000;       2;2400;   0	
spr;FFFFB274; 1; 2; 0; 0; A;   C;   0;   A2082;   A1A90;       0;a0:   A208E; A98;8000;       2;2400;   0	
spr;FFFFB274; 1; 2; 0; 0; A;   C;   0;   A208E;       0;       0;a0:   A209A; A9C;8000;       1;2456;   0	
spr;FFFFB274; 1; 2; 0; 0; A;   C;   0;   A208E;   A1A90;       0;a0:   A209A; A9C;8000;       1;2456;   0	
spr;FFFFB274; 1; 2; 0; 0; A;   C;   0;   A209A;       0;       0;a0:   A20A6; AA0;8000;     406;2557;   0	
spr;FFFFB274; 1; 2; 0; 0; A;   C;   0;   A209A;   A1A90;       0;a0:   A20A6; AA0;8000;     406;2557;   0	
spr;FFFFB274; 1; 2; 0; 0; A;   C;   0;   A20A6;       0;       0;a0:   A20B2; AA4;8000;      83;2600;   0	
spr;FFFFB274; 1; 2; 0; 0; A;   C;   0;   A20A6;       0;       0;a0:   A210A; AA0;8000;       6;2557;   0	
spr;FFFFB274; 1; 2; 0; 0; A;   C;   0;   A20A6;   A1A90;       0;a0:   A210A; AA0;8000;       6;2557;   0	
spr;FFFFB274; 1; 2; 0; 0; C;   C;   0;   A20C0;       0;       0;a0:   A20CC; AA8;8000;       1;2700;   0	
spr;FFFFB274; 1; 2; 0; 0; C;   C;   0;   A20C0;   A1A90;       0;a0:   A20CC; AA8;8000;       1;2700;   0	
spr;FFFFB274; 1; 2; 0; 0; C;   C;   0;   A20CC;       0;       0;a0:   A20D8; AAC;8000;       2;2858;   0	
spr;FFFFB274; 1; 2; 0; 0; C;   C;   0;   A20CC;   A1A90;       0;a0:   A20D8; AAC;8000;       2;2858;   0	
spr;FFFFB274; 1; 2; 0; 0; C;   C;   0;   A20D8;       0;       0;a0:   A20E4; AB0;8000;       2;2959;   0	
spr;FFFFB274; 1; 2; 0; 0; C;   C;   0;   A20D8;   A1A90;       0;a0:   A20E4; AB0;8000;       2;2959;   0	
spr;FFFFB274; 1; 2; 0; 0; C;   C;   0;   A20E4;       0;       0;a0:   A20F0; AB4;8000;     40C;2A5A;   0	
spr;FFFFB274; 1; 2; 0; 0; C;   C;   0;   A20E4;   A1A90;       0;a0:   A20F0; AB4;8000;     40C;2A5A;   0	
spr;FFFFB274; 1; 2; 0; 0; C;   C;   0;   A20F0;       0;       0;a0:   A2124; AB4;8000;       6;2A5A;   0	
