copyright	zengfr	site:http://github.com/zengfr/romhack
FF807A	base+ 7A	[0, 30, 38, 39, 3A, 3B, 3E, 71, 72, 79, 7C, 88, A8, BE, DE, F7, F8]	
FF807C	base+ 7C	[0, 3, 4, 7]	
FF807E	base+ 7E	[0, 1, 10, 11, 12, 15, 17, 18, 19, 1C, 1E, 20, 2001, 200D, 200F, 2010, 2014, 2015, 2016, 2020, 7, 9, A, B, C, D, E]	
FF807F	base+ 7F	[1, 10, 11, 15, 16, 18, 1C, 20, A, C, D, E]	
FF8080	base+ 80	[0, 15, 1500, 2, 240, 3, 380, D00]	
FF8081	base+ 81	[0, 40, 80]	
FF8082	base+ 82	[0, 4, 403, A]	
FF8083	base+ 83	[0, 3]	
FF8084	base+ 84	[0]	
FF8086	base+ 86	[0]	
FF8088	base+ 88	[0]	
FF808A	base+ 8A	[0, 34, 38, 39, 3B, 3E, 6E, 71, 79, A8, C1, CB, DF, F7, F8, FF, FF00]	
FF808B	base+ 8B	[0]	
FF808C	base+ 8C	[0, 3, 4, 7]	
FF808D	base+ 8D	[0]	
FF808E	base+ 8E	[0, 10, 12, 14, 15, 17, 18, 20, 2000, 200A, 200D, 2012, 2014, 2015, 2020, 7, A, B, D, E, F]	
FF808F	base+ 8F	[0, 10, 12, 15, 17, 20, 7, A, D, E]	
FF8090	base+ 90	[0, 15, 1500, 2, 240, D00]	
FF8091	base+ 91	[0, 40]	
FF8092	base+ 92	[0, 4, 403, A]	
FF8093	base+ 93	[0, 3, A]	
FF8094	base+ 94	[0]	
FF8096	base+ 96	[0]	
FF8098	base+ 98	[0]	
FF809A	base+ 9A	[0, 30, 38, 39, 3A, 3B, 3C, 3E, 46, 52, 62, 72, A8, C5, DE, F5, F7, F8]	
FF809C	base+ 9C	[0, 3, 6, 7]	
FF809E	base+ 9E	[0, 10, 11, 12, 15, 17, 18, 19, 1B, 1C, 1E, 2, 20, 200B, 2011, 2013, 2015, 2018, 6, 60E, A, B, C, D, E, F]	
FF809F	base+ 9F	[0, 10, 12, 15, 17, 18, 19, 1E, 20, A, B, C, D, E]	
FF80A0	base+ A0	[0, 15, 1500, 3, 380, 56, D, D00]	
FF80A1	base+ A1	[0, 56, 80]	
FF80A2	base+ A2	[0, 3, 4, 403, 7, 8, 8D0]	
FF80A3	base+ A3	[0, 3, 7, D0]	
FF80A4	base+ A4	[0]	
FF80A6	base+ A6	[0]	
FF80A8	base+ A8	[0]	
FF80AA	base+ AA	[0, 38, 39, 3B, 3E, 4B, 60, 66, 6E, 71, 72, 79, A8, C0, C2, CE, D2, DE, E7, F8, FF, FF00]	
FF80AB	base+ AB	[0]	
FF80AC	base+ AC	[0, 3, 4, 5, 7]	
FF80AD	base+ AD	[0]	
FF80AE	base+ AE	[0, 1, 10, 12, 120B, 14, 15, 17, 18, 19, 1E, 20, 2006, 200D, 200E, 2016, 2018, 2020, 7, A, D, E]	
FF80AF	base+ AF	[0, 15, 17, 18, 19, 20, 7, A, B, E]	
FF80B0	base+ B0	[0, 1, 15, 1500, 156, 240, D, D00]	
FF80B1	base+ B1	[0, 56]	
FF80B2	base+ B2	[0, 10, 1080, 7]	
FF80B3	base+ B3	[0, 7, 80]	
FF80B4	base+ B4	[0]	
FF80B6	base+ B6	[0]	
FF80B8	base+ B8	[0]	
FF80BA	base+ BA	[0, 30, 38, 39, 3A, 3C, 46, 4B, 62, 72, 79, A8, BD, C5, C6, DF, E, F6, F7, F8]	
FF80BC	base+ BC	[0, 3, 4, 6, 7]	
FF80BE	base+ BE	[0, 10, 11, 12, 13, 14, 15, 16, 17, 1C, 1D, 1E, 20, 200A, 200C, 200D, 2020, 6, 620, 8, A, B, C, D, E]	
FF80BF	base+ BF	[0, 10, 12, 14, 15, 16, 17, 1C, 20, A, D]	
FF80C0	base+ C0	[0, 15, 1500, 240, 3, 380, 56, D, D00]	
FF80C1	base+ C1	[0, 56, 80]	
FF80C2	base+ C2	[0, 42, 53, 60, 8, 8D0, A]	
FF80C3	base+ C3	[0, 53, A, D0]	
FF80C4	base+ C4	[0]	
FF80C6	base+ C6	[0]	
FF80C8	base+ C8	[0]	
FF80CA	base+ CA	[0, 31, 38, 39, 3B, 3C, 62, 6F, 71, 72, 79, A8, AE, AF, BE, C5, C6, DE, F8, FF, FF00]	
FF80CB	base+ CB	[0]	
FF80CC	base+ CC	[0, 3, 4, 5, 6, 7]	
FF80CD	base+ CD	[0]	
FF80CE	base+ CE	[0, 1, 10, 12, 14, 15, 17, 18, 1B, 1C, 1E, 1F, 2, 20, 2009, 2011, 2017, 6, 60E, 620, 8, A, B, C, D, E, F]	
FF80CF	base+ CF	[0, 1, 10, 12, 14, 15, 17, 1B, 1C, 1E, 20, B, C, D, E]	
FF80D0	base+ D0	[0, 15, 1500, 240, 56, D00]	
FF80D1	base+ D1	[0, 56]	
FF80D2	base+ D2	[0, 40, 42, 8, 8D0]	
FF80D3	base+ D3	[0, 40, D0]	
FF80D4	base+ D4	[0]	
FF80D6	base+ D6	[0]	
FF80D8	base+ D8	[0]	
FF80DA	base+ DA	[0, 30, 38, 39, 3B, 46, 4F, 71, 72, A8, BE, C1, C5, CB, DE, DF, F5, F6, F7, F8]	
FF80DC	base+ DC	[0, 3, 7]	
FF80DE	base+ DE	[0, 1, 10, 11, 12, 13, 14, 15, 17, 18, 19, 1C, 1E, 1F, 20, 200B, 200E, 2015, 5, C, D, E, FF]	
FF80DF	base+ DF	[1, 10, 11, 14, 15, 1C, 1E, 20, C, D, E, FF]	
FF80E0	base+ E0	[0, 15, 1500, 3, 380, D00]	
FF80E1	base+ E1	[0, 80]	
FF80E2	base+ E2	[0, 40, 9, 900, A]	
FF80E3	base+ E3	[0]	
FF80E4	base+ E4	[0]	
FF80E6	base+ E6	[0]	
FF80E8	base+ E8	[0]	
FF80EA	base+ EA	[0, 31, 32, 33, 34, 38, 39, 3A, 3B, 46, 4B, 62, 71, 72, A8, C1, CD, F7, F8, FF, FF00, FF07]	
FF80EB	base+ EB	[0, 7]	
FF80EC	base+ EC	[0, 3, 4, 444, 7]	
FF80ED	base+ ED	[0, 44]	
FF80EE	base+ EE	[0, 10, 12, 14, 15, 18, 1B, 1D, 20, 200B, 2012, 2017, 2018, 2019, 2020, 5, 7, A, B, D, E, F]	
FF80EF	base+ EF	[0, 10, 12, 15, 17, 19, 1D, 20, 5, 7, A, E, F]	
FF80F0	base+ F0	[0, 15, 1500, D00]	
FF80F1	base+ F1	[0]	
FF80F2	base+ F2	[0, 5B]	
FF80F3	base+ F3	[0]	
FF80F4	base+ F4	[0]	
FF80F6	base+ F6	[0]	
FF80F8	base+ F8	[0]	
FF80FA	base+ FA	[0, 3, 30, 32, 33, 38, 39, 3A, 3B, 46, 6E, 71, 72, 79, A8, BE, DF, E3, F5, F7, F8]	
FF80FC	base+ FC	[0, 3, 4, 7]	
FF80FE	base+ FE	[0, 10, 11, 12, 14, 15, 17, 1C, 1D, 1F, 2, 20, 2007, 200D, 2010, 2012, 2018, 2020, 3, 4, 6, A, B, C, D, E, F, FF]	
FF80FF	base+ FF	[0, 10, 11, 12, 15, 17, 1D, 20, 3, 7, A, B, C, D, FF]	
FF8100	base+100	[0, 15, 1500, 2, 240, 3, 380, D00]	
FF8101	base+101	[0, 40, 80]	
FF8102	base+102	[0, 7, 9, 900]	
FF8103	base+103	[0, 7]	
FF8104	base+104	[0]	
FF8106	base+106	[0]	
FF8108	base+108	[0]	
FF810A	base+10A	[0, 32, 33, 38, 39, 3B, 62, 64, 71, 72, 79, A8, BE, C1, CD, D4, DE, F7, F8, FF, FF00]	
FF810B	base+10B	[0]	
FF810C	base+10C	[0, 3, 4, 7]	
FF810D	base+10D	[0]	
FF810E	base+10E	[0, 1, 10, 11, 12, 14, 15, 17, 18, 1D, 1F, 20, 2007, 200F, 2010, 2011, 2014, 2015, 2018, 2020, 5, 7, 8, A, D, E]	
FF810F	base+10F	[0, 10, 11, 12, 15, 1D, 1F, 20, 7, A, E, F]	
FF8110	base+110	[0, 15, 1500, 2, 240, D00]	
FF8111	base+111	[0, 40]	
FF8112	base+112	[0, 3, A]	
FF8113	base+113	[0, 3]	
FF8114	base+114	[0]	
FF8116	base+116	[0]	
FF8118	base+118	[0]	
FF811A	base+11A	[0, 30, 32, 34, 38, 3B, 46, 4B, 4E, 62, 71, 72, A8, AF, C1, DE, DF, F8, FF00]	
FF811C	base+11C	[0, 3, 6, 7]	
FF811E	base+11E	[0, 10, 12, 14, 15, 16, 18, 1C, 1D, 20, 2009, 2012, 2019, 620, 7, A, C, E, F]	
FF811F	base+11F	[0, 10, 12, 15, 19, 1C, 20, 7, 9, A, E, F]	
FF8120	base+120	[0, 15, 1500, 3, 380, 56, D, D00]	
FF8121	base+121	[0, 80]	
FF8122	base+122	[0, 3, 70, 8D0, A]	
FF8123	base+123	[0, 3]	
FF8124	base+124	[0]	
FF8126	base+126	[0]	
FF8128	base+128	[0]	
FF812A	base+12A	[0, 1, 32, 33, 38, 39, 3B, 50, 71, 72, A8, C0, C5, CF, DE, DF, F7, F8, FF, FF00]	
FF812B	base+12B	[0]	
FF812C	base+12C	[0, 3, 4, 7]	
FF812D	base+12D	[0]	
FF812E	base+12E	[0, 10, 11, 12, 13, 16, 18, 1B, 1C, 1D, 2, 20, 2007, 200A, 2011, 2019, 7, A, B, C, D, E]	
FF812F	base+12F	[0, 11, 12, 18, 19, 1B, 1D, 20, 7, A, B, C, D]	
FF8130	base+130	[0, 15, 1500, D, D00]	
FF8131	base+131	[0]	
FF8132	base+132	[0, 40, 46, A]	
FF8133	base+133	[0, 40, A]	
FF8134	base+134	[0]	
FF8136	base+136	[0]	
FF8138	base+138	[0]	
FF813A	base+13A	[0, 30, 32, 33, 38, 3A, 3B, 4B, 4E, 62, 71, 72, 89, A8, BD, DF, E7, F5, F7, F8]	
FF813C	base+13C	[0, 3, 7]	
FF813E	base+13E	[0, 10, 11, 12, 14, 15, 17, 18, 19, 1B, 1F, 20, 2009, 200F, 2011, 201C, 201E, 2020, 8, 9, B, C, D, E, F]	
FF813F	base+13F	[0, 10, 11, 12, 14, 15, 1C, 1F, 20, 8, 9, B, C, F]	
FF8140	base+140	[0, 15, 1500, 3, 380, D, D00]	
FF8141	base+141	[0, 80]	
FF8142	base+142	[0, 3, 46, 7]	
FF8143	base+143	[0, 3, 46, 7]	
FF8144	base+144	[0]	
FF8146	base+146	[0]	
FF8148	base+148	[0]	
FF814A	base+14A	[0, 2, 33, 38, 39, 3B, 3E, 46, 4B, 4F, 62, 71, 72, 79, 81, 89, A8, C4, DE, F7, F8, FD, FF, FF00]	
FF814B	base+14B	[0]	
FF814C	base+14C	[0, 3, 4, 7]	
FF814D	base+14D	[0]	
FF814E	base+14E	[0, 1, 11, 12, 16, 18, 1B, 1C, 1D, 20, 200B, 200F, 2011, 2014, 2015, 2017, 2018, 2020, 3, 5, A, B, E]	
FF814F	base+14F	[0, 11, 12, 17, 18, 20, B, E, F]	
FF8150	base+150	[0, 15, 1500, 240, D, D00]	
FF8151	base+151	[0]	
FF8152	base+152	[0, 3, 40, 401, 4620, A]	
FF8153	base+153	[0, 3, 40]	
FF8154	base+154	[0]	
FF8156	base+156	[0]	
FF8158	base+158	[0]	
FF815A	base+15A	[0, 30, 33, 34, 38, 39, 3A, 3B, 3E, 46, 4B, 62, 71, 72, 79, A8, BE, C2, C3, C6, D1, DE, E1, F7, F8, FF, FF00]	
FF815B	base+15B	[0]	
FF815C	base+15C	[0, 3, 4, 7]	
FF815D	base+15D	[0]	
FF815E	base+15E	[0, 10, 11, 13, 14, 18, 1B, 1C, 1E, 2, 20, 2005, 200A, 2011, 2017, 2020, A, B, D, E, F]	
FF815F	base+15F	[0, 10, 11, 14, 17, 18, 1C, 1E, 20, A, B, F]	
FF8160	base+160	[0, 15, 1500, 2, 240, 3, 380, D, D00]	
FF8161	base+161	[0, 40, 80]	
FF8162	base+162	[0, 3, 401, 7, A]	
FF8163	base+163	[0, 3, 7, A]	
FF8164	base+164	[0]	
FF8166	base+166	[0]	
FF8168	base+168	[0]	
FF816A	base+16A	[0, 1, 2, 33, 38, 39, 3B, 3E, 46, 6E, 71, 72, 79, A8, AF, BE, C1, C5, CB, DF, F7, F8, FF, FF00]	
FF816B	base+16B	[0]	
FF816C	base+16C	[0, 3, 4, 6, 7]	
FF816D	base+16D	[0]	
FF816E	base+16E	[0, 1, 10, 11, 12, 13, 15, 16, 17, 18, 19, 1D, 20, 200B, 200D, 2011, 2018, 2020, 620, 7, A, B, C, D, E]	
FF816F	base+16F	[0, 11, 12, 15, 17, 18, 19, 20, 7, B, D, E]	
FF8170	base+170	[0, 15, 1500, 2, 240, 56, D, D00]	
FF8171	base+171	[0, 40]	
FF8172	base+172	[0, 401, 60, 7, 8D0, A]	
FF8173	base+173	[0, 7, A]	
FF8174	base+174	[0]	
FF8176	base+176	[0]	
FF8178	base+178	[0]	
FF817A	base+17A	[0, 30, 38, 39, 3A, 3B, 71, 72, 79, 7C, A8, C0, C1, C5, C6, DE, E7, F7, FF, FF00]	
FF817B	base+17B	[0]	
FF817C	base+17C	[0, 3, 4, 7]	
FF817D	base+17D	[0]	
FF817E	base+17E	[0, 10, 11, 13, 14, 15, 17, 18, 19, 1B, 1C, 1F, 20, 2007, 200D, 200E, 2011, 2015, 2018, 201E, 4, 8, B, C, D, E]	
FF817F	base+17F	[10, 11, 13, 15, 17, 18, 1B, 1C, 1E, 7, B, D, E]	
FF8180	base+180	[0, 15, 1500, 2, 240, 3, 380, D, D00]	
FF8181	base+181	[0, 40, 80]	
FF8182	base+182	[0, A]	
FF8183	base+183	[0, A]	
FF8184	base+184	[0]	
FF8186	base+186	[0]	
FF8188	base+188	[0]	
FF818A	base+18A	[0, 1, 2, 38, 39, 3B, 3C, 46, 50, 62, 71, 72, 89, A8, BD, C6, F7, F8, FF, FF00]	
FF818B	base+18B	[0]	
FF818C	base+18C	[0, 3, 5, 7]	
FF818D	base+18D	[0]	
FF818E	base+18E	[0, 1, 11, 14, 15, 16, 17, 18, 19, 1B, 1C, 2, 20, 200D, 200E, 2011, 2012, 2013, 6, 610, A, B, E, F]	
FF818F	base+18F	[0, 1, 11, 14, 15, 16, 19, 1B, 1C, 20, A, E, F]	
FF8190	base+190	[0, 100, 15, 1500, 56, D, D00]	
FF8191	base+191	[0]	
FF8192	base+192	[0, 3, 46, 4620, 60, 8D0]	
FF8193	base+193	[0, 20, 3]	
FF8194	base+194	[0]	
FF8196	base+196	[0]	
FF8198	base+198	[0]	
FF819A	base+19A	[0, 30, 34, 38, 3B, 46, 4E, 71, 72, 79, 81, A8, BE, C5, CD, DF, E7, F7, F8]	
FF819C	base+19C	[0, 3, 4, 7]	
FF819E	base+19E	[0, 10, 12, 13, 14, 17, 18, 19, 1B, 1C, 20, 200B, 200E, 2011, 2015, 201E, 7, B, D, F]	
FF819F	base+19F	[10, 11, 13, 15, 1C, 1E, 20, 7, D, E, F]	
FF81A0	base+1A0	[0, 15, 1500, 240, 3, 380, D, D00]	
FF81A1	base+1A1	[0, 80]	
FF81A2	base+1A2	[0, 7]	
FF81A3	base+1A3	[0, 7]	
FF81A4	base+1A4	[0]	
FF81A6	base+1A6	[0]	
FF81A8	base+1A8	[0]	
FF81AA	base+1AA	[0, 2, 38, 39, 3B, 46, 4B, 4F, 62, 71, 72, 79, 89, A8, BE, C1, DF, F5, F7, F8, FF, FF00]	
FF81AB	base+1AB	[0]	
FF81AC	base+1AC	[0, 3, 4, 7]	
FF81AD	base+1AD	[0]	
FF81AE	base+1AE	[0, 1, 10, 12, 14, 15, 16, 17, 1C, 1D, 20, 2007, 200B, 200D, 2010, 2017, 2019, 2020, A, B, E]	
FF81AF	base+1AF	[0, 1, 10, 12, 16, 17, 1C, 20, B, E]	
FF81B0	base+1B0	[0, 15, 1500, 240, D00]	
FF81B1	base+1B1	[0]	
FF81B2	base+1B2	[0, 3, 46, 4600, 60]	
FF81B3	base+1B3	[0, 3, 60]	
FF81B4	base+1B4	[0]	
FF81B6	base+1B6	[0]	
FF81B8	base+1B8	[0]	
FF81BA	base+1BA	[0, 30, 38, 39, 3A, 3B, 46, 4E, 62, 6E, 72, 79, 89, A8, AE, AF, BE, C1, C4, C6, DE, F7, F8]	
FF81BC	base+1BC	[0, 3, 4, 5, 6, 7]	
FF81BE	base+1BE	[0, 10, 11, 13, 18, 19, 1B, 1C, 1D, 1E, 1F, 2, 20, 2005, 2009, 2011, 2012, 2015, 2019, 201D, 2020, 6, 613, 620, A, B, C, D, E, F]	
FF81BF	base+1BF	[0, 10, 11, 12, 1B, 1C, 1D, 1E, 1F, 20, 6, B, C, D, F]	
FF81C0	base+1C0	[0, 15, 1500, 240, 3, 380, 56, D, D00]	
FF81C1	base+1C1	[0, 56, 80]	
FF81C2	base+1C2	[0, 40, 8, 8D0, A]	
FF81C3	base+1C3	[0, D0]	
FF81C4	base+1C4	[0]	
FF81C6	base+1C6	[0]	
FF81C8	base+1C8	[0]	
FF81CA	base+1CA	[0, 2, 31, 38, 39, 3B, 3C, 46, 71, 72, 79, A8, BE, C0, C1, C5, DE, F7, F8]	
FF81CC	base+1CC	[0, 3, 4, 6, 7]	
FF81CE	base+1CE	[0, 1, 10, 11, 12, 13, 15, 16, 17, 1B, 1C, 1E, 2, 20, 2006, 200C, 200E, 2010, 201D, 618, A, C, F]	
FF81CF	base+1CF	[0, 1, 10, 11, 12, 15, 16, 1C, 1E, 2, 20, 6, E]	
FF81D0	base+1D0	[0, 15, 1500, 2, 240, 56, D, D00]	
FF81D1	base+1D1	[0, 40]	
FF81D2	base+1D2	[0, 60, 8D0, A]	
FF81D3	base+1D3	[0, 60, A]	
FF81D4	base+1D4	[0]	
FF81D6	base+1D6	[0]	
FF81D8	base+1D8	[0]	
FF81DA	base+1DA	[0, 30, 38, 39, 3B, 71, 72, 79, A8, BC, BD, C1, C2, C3, E1, F7, F8]	
