copyright	zengfr	site:http://github.com/zengfr/romhack
FF8076	base+ 76	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8078	base+ 78	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF807A	base+ 7A	[00042C, 00063E, 00064E, 000660, 000666, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF807C	base+ 7C	[00042C, 00066C, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF807E	base+ 7E	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF807F	base+ 7F	[000678]	
FF8080	base+ 80	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8081	base+ 81	[000684]	
FF8082	base+ 82	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8083	base+ 83	[000690]	
FF8084	base+ 84	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8086	base+ 86	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8088	base+ 88	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF808A	base+ 8A	[00042C, 00063E, 000660, 000666, 0006A0, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF808B	base+ 8B	[0006A6]	
FF808C	base+ 8C	[00042C, 00066C, 0006AC, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF808D	base+ 8D	[0006B2]	
FF808E	base+ 8E	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF808F	base+ 8F	[000678]	
FF8090	base+ 90	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8091	base+ 91	[000684]	
FF8092	base+ 92	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8093	base+ 93	[000690]	
FF8094	base+ 94	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8096	base+ 96	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8098	base+ 98	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF809A	base+ 9A	[00042C, 00063E, 00064E, 000660, 000666, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF809C	base+ 9C	[00042C, 00066C, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF809E	base+ 9E	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF809F	base+ 9F	[000678]	
FF80A0	base+ A0	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80A1	base+ A1	[000684]	
FF80A2	base+ A2	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80A3	base+ A3	[000690]	
FF80A4	base+ A4	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80A6	base+ A6	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80A8	base+ A8	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80AA	base+ AA	[00042C, 00063E, 000660, 000666, 0006A0, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80AB	base+ AB	[0006A6]	
FF80AC	base+ AC	[00042C, 00066C, 0006AC, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80AD	base+ AD	[0006B2]	
FF80AE	base+ AE	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80AF	base+ AF	[000678]	
FF80B0	base+ B0	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80B1	base+ B1	[000684]	
FF80B2	base+ B2	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80B3	base+ B3	[000690]	
FF80B4	base+ B4	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80B6	base+ B6	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80B8	base+ B8	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80BA	base+ BA	[00042C, 00063E, 00064E, 000660, 000666, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80BC	base+ BC	[00042C, 00066C, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80BE	base+ BE	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80BF	base+ BF	[000678]	
FF80C0	base+ C0	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80C1	base+ C1	[000684]	
FF80C2	base+ C2	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80C3	base+ C3	[000690]	
FF80C4	base+ C4	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80C6	base+ C6	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80C8	base+ C8	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80CA	base+ CA	[00042C, 00063E, 000660, 000666, 0006A0, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80CB	base+ CB	[0006A6]	
FF80CC	base+ CC	[00042C, 00066C, 0006AC, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80CD	base+ CD	[0006B2]	
FF80CE	base+ CE	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80CF	base+ CF	[000678]	
FF80D0	base+ D0	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80D1	base+ D1	[000684]	
FF80D2	base+ D2	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80D3	base+ D3	[000690]	
FF80D4	base+ D4	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
